date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:10:28	5641/5641	---M--	200	added ('OK')	text/css	etag:%221609-5602118d9ad2c%22	http://qbgrow.com/magen/iot-admin/lib/jquery.steps/jquery.steps.css	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/lib/jquery.steps/jquery.steps.css	(from http://qbgrow.com/magen/iot-admin/app/form-wizards.html)
14:10:36	93127/93127	---M--	200	added ('OK')	application/javascript	etag:%2216bc7-560210edc9cc2%22	http://qbgrow.com/magen/iot-admin/lib/parsleyjs/parsley.js	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/lib/parsleyjs/parsley.js	(from http://qbgrow.com/magen/iot-admin/app/form-validation.html)
14:10:36	6120/6120	---M--	200	added ('OK')	text/css	etag:%2217e8-560211113a442%22	http://qbgrow.com/magen/iot-admin/lib/medium-editor/medium-editor.css	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/lib/medium-editor/medium-editor.css	(from http://qbgrow.com/magen/iot-admin/app/form-editor-text.html)
14:10:37	2150/2150	---M--	200	added ('OK')	text/css	etag:%22866-5602111d75321%22	http://qbgrow.com/magen/iot-admin/lib/medium-editor/default.css	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/lib/medium-editor/default.css	(from http://qbgrow.com/magen/iot-admin/app/form-editor-text.html)
14:10:37	53338/53338	---M--	200	added ('OK')	application/javascript	etag:%22d05a-5602118f36f11%22	http://qbgrow.com/magen/iot-admin/lib/jquery.steps/jquery.steps.js	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/lib/jquery.steps/jquery.steps.js	(from http://qbgrow.com/magen/iot-admin/app/form-wizards.html)
14:10:37	15455/15455	---M--	200	added ('OK')	text/css	etag:%223c5f-5602113087241%22	http://qbgrow.com/magen/iot-admin/lib/summernote/summernote-bs4.css	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/lib/summernote/summernote-bs4.css	(from http://qbgrow.com/magen/iot-admin/app/form-editor-text.html)
14:10:55	102813/102813	---M--	200	added ('OK')	application/javascript	etag:%221919d-560211346d35c%22	http://qbgrow.com/magen/iot-admin/lib/summernote/summernote-bs4.min.js	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/lib/summernote/summernote-bs4.min.js	(from http://qbgrow.com/magen/iot-admin/app/form-editor-text.html)
14:10:58	13777/13777	---M--	200	added ('OK')	image/jpeg	etag:%2235d1-560210db030ca%22	http://qbgrow.com/magen/iot-admin/img/img12.jpg	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/img/img12.jpg	(from http://qbgrow.com/magen/iot-admin/app/cards.html)
14:10:59	520714/520714	---M--	200	added ('OK')	application/javascript	etag:%227f20a-560211cc9fff5%22	http://qbgrow.com/magen/iot-admin/lib/jquery-ui/jquery-ui.js	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/lib/jquery-ui/jquery-ui.js	(from http://qbgrow.com/magen/iot-admin/app/form-elements.html)
14:11:00	23640/23640	---M--	200	added ('OK')	text/css	etag:%225c58-560210f345263%22	http://qbgrow.com/magen/iot-admin/lib/SpinKit/spinkit.css	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/lib/SpinKit/spinkit.css	(from http://qbgrow.com/magen/iot-admin/app/spinners.html)
14:11:01	433/433	---M--	200	added ('OK')	text/css	etag:%221b1-560210fdd261a%22	http://qbgrow.com/magen/iot-admin/lib/morris.js/morris.css	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/lib/morris.js/morris.css	(from http://qbgrow.com/magen/iot-admin/app/chart-morris.html)
14:11:03	23895/23895	---M--	200	added ('OK')	image/jpeg	etag:%225d57-560210d8f893a%22	http://qbgrow.com/magen/iot-admin/img/img11.jpg	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/img/img11.jpg	(from http://qbgrow.com/magen/iot-admin/app/cards.html)
14:11:14	66047/66047	---M--	200	added ('OK')	application/javascript	etag:%22101ff-560210ff810e2%22	http://qbgrow.com/magen/iot-admin/lib/morris.js/morris.js	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/lib/morris.js/morris.js	(from http://qbgrow.com/magen/iot-admin/app/chart-morris.html)
14:11:16	5142/5142	---M--	200	added ('OK')	application/javascript	etag:%221416-560210e3ce138%22	http://qbgrow.com/magen/iot-admin/js/chart.morris.js	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/js/chart.morris.js	(from http://qbgrow.com/magen/iot-admin/app/chart-morris.html)
14:11:16	93251/93251	---M--	200	added ('OK')	application/javascript	etag:%2216c43-560211ab26782%22	http://qbgrow.com/magen/iot-admin/lib/raphael/raphael.min.js	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/lib/raphael/raphael.min.js	(from http://qbgrow.com/magen/iot-admin/app/chart-morris.html)
14:11:21	23809/23809	---M--	200	added ('OK')	application/javascript	etag:%225d01-56021186c8b0b%22	http://qbgrow.com/magen/iot-admin/lib/Flot/jquery.flot.pie.js	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/lib/Flot/jquery.flot.pie.js	(from http://qbgrow.com/magen/iot-admin/app/chart-flot.html)
14:11:22	3314/3314	---M--	200	added ('OK')	application/javascript	etag:%22cf2-56021184d1bfd%22	http://qbgrow.com/magen/iot-admin/lib/Flot/jquery.flot.resize.js	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/lib/Flot/jquery.flot.resize.js	(from http://qbgrow.com/magen/iot-admin/app/chart-flot.html)
14:11:23	5829/5829	---M--	200	added ('OK')	application/javascript	etag:%2216c5-5602118be06e3%22	http://qbgrow.com/magen/iot-admin/lib/flot-spline/jquery.flot.spline.js	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/lib/flot-spline/jquery.flot.spline.js	(from http://qbgrow.com/magen/iot-admin/app/chart-flot.html)
14:11:25	9556/9556	---M--	200	added ('OK')	application/javascript	etag:%222554-560210e2ab0dd%22	http://qbgrow.com/magen/iot-admin/js/chart.flot.js	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/js/chart.flot.js	(from http://qbgrow.com/magen/iot-admin/app/chart-flot.html)
14:11:27	313943/313943	---M--	200	added ('OK')	application/javascript	etag:%224ca57-5602111dc73a8%22	http://qbgrow.com/magen/iot-admin/lib/medium-editor/medium-editor.js	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/lib/medium-editor/medium-editor.js	(from http://qbgrow.com/magen/iot-admin/app/form-editor-text.html)
14:11:27	9694/9694	---M--	200	added ('OK')	application/javascript	etag:%2225de-560210e2f92e4%22	http://qbgrow.com/magen/iot-admin/js/chart.chartjs.js	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/js/chart.chartjs.js	(from http://qbgrow.com/magen/iot-admin/app/chart-chartjs.html)
14:11:29	11786/11786	---M--	200	added ('OK')	application/javascript	etag:%222e0a-560210e1265fa%22	http://qbgrow.com/magen/iot-admin/js/chart.rickshaw.js	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/js/chart.rickshaw.js	(from http://qbgrow.com/magen/iot-admin/app/chart-rickshaw.html)
14:11:30	2216/2216	---M--	200	added ('OK')	application/javascript	etag:%228a8-560210e07790a%22	http://qbgrow.com/magen/iot-admin/js/chart.sparkline.js	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/js/chart.sparkline.js	(from http://qbgrow.com/magen/iot-admin/app/chart-sparkline.html)
14:11:32	5529/5529	---M--	200	added ('OK')	application/javascript	etag:%221599-560210e5ff9cb%22	http://qbgrow.com/magen/iot-admin/js/map.shiftworker.js	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/js/map.shiftworker.js	(from http://qbgrow.com/magen/iot-admin/app/map-google.html)
