date,reading
Wed Feb 27 01:57:13 2019	,28.26
Wed Feb 27 02:00:13 2019	,28.26
Wed Feb 27 02:03:14 2019	,28.26
Wed Feb 27 02:06:14 2019	,28.26
Wed Feb 27 02:09:14 2019	,28.26
Wed Feb 27 02:12:15 2019	,28.26
Wed Feb 27 02:15:15 2019	,28.26
Wed Feb 27 02:18:16 2019	,28.26
Wed Feb 27 02:21:16 2019	,28.26
Wed Feb 27 02:24:16 2019	,28.26
Wed Feb 27 02:27:17 2019	,28.26
Wed Feb 27 02:30:17 2019	,28.26
Wed Feb 27 02:33:17 2019	,28.26
Wed Feb 27 02:36:18 2019	,28.26
Wed Feb 27 02:39:18 2019	,28.26
Wed Feb 27 02:42:19 2019	,28.26
Wed Feb 27 02:45:19 2019	,28.26
Wed Feb 27 02:48:19 2019	,28.26
Wed Feb 27 02:51:20 2019	,28.26
Wed Feb 27 02:54:20 2019	,28.26
Wed Feb 27 02:57:20 2019	,28.26
Wed Feb 27 03:00:21 2019	,28.26
Wed Feb 27 03:03:21 2019	,28.26
Wed Feb 27 03:06:21 2019	,28.26
Wed Feb 27 03:09:22 2019	,28.26
Wed Feb 27 03:12:22 2019	,28.26
Wed Feb 27 03:15:23 2019	,28.26
Wed Feb 27 03:18:23 2019	,28.26
Wed Feb 27 03:21:23 2019	,28.26
Wed Feb 27 03:24:24 2019	,28.26
Wed Feb 27 03:27:24 2019	,28.26
Wed Feb 27 03:30:24 2019	,28.26
Wed Feb 27 03:33:25 2019	,28.26
Wed Feb 27 03:36:25 2019	,28.26
Wed Feb 27 03:39:25 2019	,28.26
Wed Feb 27 03:42:26 2019	,28.26
Wed Feb 27 03:45:26 2019	,28.26
Wed Feb 27 03:48:26 2019	,28.26
Wed Feb 27 03:51:27 2019	,28.26
Wed Feb 27 03:54:27 2019	,28.26
Wed Feb 27 03:57:27 2019	,28.26
Wed Feb 27 04:00:28 2019	,28.26
Wed Feb 27 04:03:28 2019	,28.26
Wed Feb 27 04:06:28 2019	,28.26
Wed Feb 27 04:09:29 2019	,28.26
Wed Feb 27 04:12:29 2019	,28.26
Wed Feb 27 04:15:30 2019	,28.26
Wed Feb 27 04:18:30 2019	,28.26
Wed Feb 27 04:21:30 2019	,28.26
Wed Feb 27 04:24:31 2019	,28.26
Wed Feb 27 04:27:31 2019	,28.26
Wed Feb 27 04:30:31 2019	,28.26
Wed Feb 27 04:33:32 2019	,28.26
Wed Feb 27 04:36:32 2019	,28.26
Wed Feb 27 04:39:33 2019	,28.26
Wed Feb 27 04:42:33 2019	,28.26
Wed Feb 27 04:45:33 2019	,28.26
Wed Feb 27 04:48:34 2019	,28.26
Wed Feb 27 04:51:34 2019	,28.26
Wed Feb 27 04:54:34 2019	,28.26
Wed Feb 27 04:57:35 2019	,28.26
Wed Feb 27 05:00:35 2019	,28.26
Wed Feb 27 05:03:35 2019	,28.26
Wed Feb 27 05:06:36 2019	,28.26
Wed Feb 27 05:09:36 2019	,28.26
Wed Feb 27 05:12:37 2019	,28.26
Wed Feb 27 05:15:37 2019	,28.26
Wed Feb 27 05:18:37 2019	,28.26
Wed Feb 27 05:21:38 2019	,28.26
Wed Feb 27 05:24:38 2019	,28.26
Wed Feb 27 05:27:39 2019	,28.26
Wed Feb 27 05:30:39 2019	,28.26
Wed Feb 27 05:33:39 2019	,28.26
Wed Feb 27 05:36:40 2019	,28.26
Wed Feb 27 05:39:40 2019	,28.26
Wed Feb 27 05:42:40 2019	,28.26
Wed Feb 27 05:45:41 2019	,28.26
Wed Feb 27 05:48:41 2019	,28.26
Wed Feb 27 05:51:42 2019	,28.26
Wed Feb 27 05:54:42 2019	,28.26
Wed Feb 27 05:57:42 2019	,28.26
Wed Feb 27 06:00:43 2019	,28.26
Wed Feb 27 06:03:43 2019	,28.26
Wed Feb 27 06:06:43 2019	,28.26
Wed Feb 27 06:09:44 2019	,28.26
Wed Feb 27 06:12:44 2019	,28.26
Wed Feb 27 06:15:45 2019	,28.26
Wed Feb 27 06:18:45 2019	,28.26
Wed Feb 27 06:21:45 2019	,27.57
Wed Feb 27 06:24:46 2019	,27.57
Wed Feb 27 06:27:46 2019	,27.57
Wed Feb 27 06:30:46 2019	,27.57
Wed Feb 27 06:33:47 2019	,27.57
Wed Feb 27 06:36:47 2019	,26.88
Wed Feb 27 06:39:48 2019	,26.88
Wed Feb 27 06:42:48 2019	,26.88
Wed Feb 27 06:45:48 2019	,26.88
Wed Feb 27 06:48:49 2019	,26.88
Wed Feb 27 06:51:49 2019	,26.88
Wed Feb 27 06:54:50 2019	,26.88
Wed Feb 27 06:57:50 2019	,26.19
Wed Feb 27 07:00:50 2019	,26.19
Wed Feb 27 07:03:51 2019	,26.19
Wed Feb 27 07:06:51 2019	,26.19
Wed Feb 27 07:09:51 2019	,26.19
Wed Feb 27 07:12:52 2019	,26.19
Thu Feb 28 11:15:33 2019	,25.5
Thu Feb 28 11:18:34 2019	,25.5
Thu Feb 28 11:21:34 2019	,25.5
Thu Feb 28 11:24:35 2019	,25.5
Thu Feb 28 11:27:35 2019	,26.19
Thu Feb 28 11:30:35 2019	,26.19
Thu Feb 28 11:33:36 2019	,26.19
Thu Feb 28 11:36:36 2019	,26.19
Thu Feb 28 11:39:37 2019	,25.5
Thu Feb 28 11:42:37 2019	,25.5
Thu Feb 28 11:45:37 2019	,25.5
Thu Feb 28 11:48:38 2019	,28.26
Thu Feb 28 11:51:38 2019	,26.19
Thu Feb 28 11:54:38 2019	,26.19
Thu Feb 28 11:57:39 2019	,26.19
Thu Feb 28 12:00:39 2019	,25.5
Thu Feb 28 12:03:40 2019	,25.5
Thu Feb 28 12:06:40 2019	,25.5
Thu Feb 28 12:09:40 2019	,25.5
Thu Feb 28 12:12:41 2019	,25.5
Thu Feb 28 12:15:41 2019	,25.5
Thu Feb 28 12:18:42 2019	,25.5
Thu Feb 28 12:21:42 2019	,25.5
Thu Feb 28 12:24:42 2019	,25.5
Thu Feb 28 12:27:43 2019	,25.5
Thu Feb 28 12:30:43 2019	,25.5
Thu Feb 28 12:33:43 2019	,25.5
Thu Feb 28 12:36:44 2019	,25.5
Thu Feb 28 12:39:44 2019	,25.5
Thu Feb 28 12:42:45 2019	,25.5
Thu Feb 28 12:45:45 2019	,25.5
Thu Feb 28 12:48:45 2019	,25.5
Thu Feb 28 12:51:46 2019	,25.5
Thu Feb 28 12:54:46 2019	,25.5
Thu Feb 28 12:57:47 2019	,25.5
Thu Feb 28 13:00:47 2019	,25.5
Thu Feb 28 13:03:47 2019	,25.5
Thu Feb 28 13:06:48 2019	,25.5
Thu Feb 28 13:09:48 2019	,26.19
Thu Feb 28 13:12:49 2019	,26.25
Thu Feb 28 13:23:56 2019	,26.19
Thu Feb 28 13:26:56 2019	,26.19
Thu Feb 28 13:29:57 2019	,26.19
Thu Feb 28 13:32:57 2019	,26.19
Thu Feb 28 13:35:58 2019	,26.19
Thu Feb 28 13:38:58 2019	,26.19
Thu Feb 28 13:41:58 2019	,26.19
Thu Feb 28 13:44:59 2019	,26.19
Thu Feb 28 13:48:00 2019	,26.19
Thu Feb 28 13:51:00 2019	,26.19
Thu Feb 28 13:54:01 2019	,26.19
Thu Feb 28 13:57:01 2019	,26.19
Thu Feb 28 14:00:01 2019	,26.19
Thu Feb 28 14:03:02 2019	,26.19
Thu Feb 28 14:06:02 2019	,26.19
Thu Feb 28 14:09:03 2019	,26.19
Thu Feb 28 14:12:03 2019	,26.19
Thu Feb 28 14:15:03 2019	,26.19
Thu Feb 28 14:18:04 2019	,26.19
Thu Feb 28 14:21:04 2019	,26.19
Thu Feb 28 14:24:05 2019	,26.19
Thu Feb 28 14:27:05 2019	,26.19
Thu Feb 28 14:30:05 2019	,26.19
Thu Feb 28 14:33:06 2019	,26.19
Thu Feb 28 14:36:06 2019	,26.19
Thu Feb 28 14:39:06 2019	,26.19
Fri Mar  1 09:15:56 2019	,28.26
Fri Mar  1 09:18:56 2019	,28.26
Fri Mar  1 09:21:56 2019	,28.26
Fri Mar  1 09:24:57 2019	,28.26
Fri Mar  1 09:27:57 2019	,28.26
Fri Mar  1 09:30:57 2019	,28.26
Fri Mar  1 09:33:58 2019	,28.26
Fri Mar  1 09:36:58 2019	,28.26
Fri Mar  1 09:39:58 2019	,28.26
Fri Mar  1 09:42:59 2019	,28.26
Fri Mar  1 09:45:59 2019	,28.26
Fri Mar  1 09:48:59 2019	,27.57
Fri Mar  1 09:52:00 2019	,27.57
Fri Mar  1 09:55:00 2019	,27.57
Fri Mar  1 09:58:01 2019	,27.57
Fri Mar  1 10:01:01 2019	,27.57
Fri Mar  1 10:04:01 2019	,27.57
Fri Mar  1 10:07:02 2019	,27.57
Fri Mar  1 10:10:02 2019	,27.57
Fri Mar  1 10:13:03 2019	,27.57
Fri Mar  1 10:16:03 2019	,27.57
Fri Mar  1 10:19:03 2019	,27.57
Fri Mar  1 10:22:04 2019	,27.57
Fri Mar  1 10:25:04 2019	,27.57
Fri Mar  1 10:28:05 2019	,27.57
Fri Mar  1 10:31:05 2019	,27.57
Fri Mar  1 10:34:05 2019	,27.57
Fri Mar  1 10:37:06 2019	,27.57
Fri Mar  1 10:40:06 2019	,26.88
Fri Mar  1 10:43:06 2019	,26.88
Fri Mar  1 10:46:07 2019	,26.88
Fri Mar  1 10:49:07 2019	,26.88
Fri Mar  1 10:52:08 2019	,26.88
Fri Mar  1 10:55:08 2019	,26.88
Fri Mar  1 10:58:08 2019	,26.88
Fri Mar  1 11:01:09 2019	,26.88
Fri Mar  1 11:04:09 2019	,26.88
Fri Mar  1 11:07:09 2019	,26.88
Fri Mar  1 11:10:10 2019	,26.88
Fri Mar  1 11:13:10 2019	,26.88
Fri Mar  1 11:16:10 2019	,26.88
Fri Mar  1 11:19:11 2019	,26.88
Fri Mar  1 11:22:11 2019	,26.88
Fri Mar  1 11:25:12 2019	,26.88
Fri Mar  1 11:28:12 2019	,26.88
Fri Mar  1 11:31:12 2019	,26.88
Fri Mar  1 11:34:13 2019	,26.88
Fri Mar  1 11:37:13 2019	,26.88
Fri Mar  1 11:40:13 2019	,26.88
Fri Mar  1 11:43:14 2019	,26.88
Fri Mar  1 11:46:14 2019	,26.88
Fri Mar  1 11:49:14 2019	,26.88
Fri Mar  1 11:52:15 2019	,26.88
Fri Mar  1 11:55:15 2019	,26.88
Fri Mar  1 11:58:15 2019	,26.88
Fri Mar  1 12:01:16 2019	,26.88
Fri Mar  1 12:04:16 2019	,26.88
Fri Mar  1 12:07:17 2019	,26.88
Fri Mar  1 12:10:17 2019	,26.88
Fri Mar  1 12:13:17 2019	,26.88
Fri Mar  1 12:16:18 2019	,26.88
Fri Mar  1 12:19:18 2019	,26.88
Fri Mar  1 12:22:19 2019	,26.88
Fri Mar  1 12:25:19 2019	,26.88
Fri Mar  1 12:28:19 2019	,26.88
Fri Mar  1 12:31:20 2019	,26.88
